"Subject","EMG_corr_mean"
"10",-8.55707821047142
"11",-8.75304556629087
"12",-8.3110536528982
"14",-8.75247774666578
"15",-8.51392960506979
"16",-8.06625988210654
"17",-8.97789446593862
"18",-8.53485497442072
"19",-8.72746494893845
"20",-8.84366636809003
"21",-8.4099553055094
"22",-8.59908977779141
"23",-8.65379551287019
"24",-8.68976652091618
"28",-8.26987699109545
"29",-7.07463788747335
"30",-7.97438693390669
"31",-8.62597541927154
"32",-8.05584126061581
"33",-8.32833948269391
"34",-8.41402235586783
"35",-9.16035750924757
"37",-8.52487125732643
"38",-8.7007668444061
"40",-7.82929488331919
"41",-9.05899590675671
"42",-9.16271108532788
"43",-8.78002804158244
"45",-7.91631959451886
"46",-9.02227407633738
"47",-8.51122666373691
"49",-8.86079725174963
"50",-8.79290615391289
"51",-8.8163801218823
"52",-8.72665353633087
"53",-8.69845104023764
"54",-8.55295110648241
"56",-8.65819230539998
"57",-9.3061085163837
"58",-8.38594943063012
"59",-8.19140354202128
"60",-7.3001911319687
"61",-8.3991434562617
"62",-8.223154428635
"63",-7.95807814479675
"65",-9.30356021836801
"66",-8.82720132561891
"67",-8.55296807131492
"68",-9.15750258145881
"69",-8.11624153994346
"71",-7.73704575749096
"74",-9.24505747599041
"76",-8.08418202855229
"78",-8.04949583281741
"81",-8.05495169412061
"82",-8.38652508157121
"83",-8.17637705107429
"84",-8.19484233698351
"85",-8.83813870902098
"86",-9.07408866981075
"9",-8.38571483083291
