"Subject","Condition","Stimulus","Unpleasantness","Intensity"
9,"Self","High",13,66
9,"Self","High",34,67
9,"Self","High",36,59
9,"Self","High",27,71
9,"Self","High",30,62
9,"Self","High",25,65
9,"Self","High",37,74
9,"Self","High",26,76
9,"Self","High",23,73
9,"Self","High",22,76
10,"Self","High",71,68
10,"Self","High",57,67
10,"Self","High",66,72
10,"Self","High",73,65
10,"Self","High",77,72
10,"Self","High",75,73
10,"Self","High",74,60
10,"Self","High",58,61
10,"Self","High",58,66
10,"Self","High",71,65
11,"Self","High",10,45
11,"Self","High",11,43
11,"Self","High",15,44
11,"Self","High",0,43
11,"Self","High",6,44
11,"Self","High",0,43
11,"Self","High",9,39
11,"Self","High",9,52
11,"Self","High",7,53
11,"Self","High",7,47
12,"Self","High",52,68
12,"Self","High",68,49
12,"Self","High",46,55
12,"Self","High",34,64
12,"Self","High",59,74
12,"Self","High",9,34
12,"Self","High",48,29
12,"Self","High",49,68
12,"Self","High",74,79
12,"Self","High",85,80
13,"Self","High",NA,NA
13,"Self","High",NA,NA
13,"Self","High",NA,NA
13,"Self","High",NA,NA
13,"Self","High",NA,NA
13,"Self","High",NA,NA
13,"Self","High",NA,NA
13,"Self","High",NA,NA
13,"Self","High",NA,NA
13,"Self","High",NA,NA
14,"Self","High",54,69
14,"Self","High",59,54
14,"Self","High",10,60
14,"Self","High",35,76
14,"Self","High",36,70
14,"Self","High",19,66
14,"Self","High",20,70
14,"Self","High",16,80
14,"Self","High",52,70
14,"Self","High",35,76
15,"Self","High",56,75
15,"Self","High",56,70
15,"Self","High",69,73
15,"Self","High",60,70
15,"Self","High",70,77
15,"Self","High",68,72
15,"Self","High",70,72
15,"Self","High",54,72
15,"Self","High",72,70
15,"Self","High",50,73
16,"Self","High",19,46
16,"Self","High",43,57
16,"Self","High",65,61
16,"Self","High",53,64
16,"Self","High",64,47
16,"Self","High",42,67
16,"Self","High",46,67
16,"Self","High",56,60
16,"Self","High",61,65
16,"Self","High",70,59
17,"Self","High",61,72
17,"Self","High",70,66
17,"Self","High",84,86
17,"Self","High",81,73
17,"Self","High",88,86
17,"Self","High",88,84
17,"Self","High",92,91
17,"Self","High",85,88
17,"Self","High",84,90
17,"Self","High",94,94
18,"Self","High",64,84
18,"Self","High",63,64
18,"Self","High",47,69
18,"Self","High",41,59
18,"Self","High",50,63
18,"Self","High",44,66
18,"Self","High",50,64
18,"Self","High",41,75
18,"Self","High",48,54
18,"Self","High",48,70
19,"Self","High",32,52
19,"Self","High",39,56
19,"Self","High",42,66
19,"Self","High",44,67
19,"Self","High",54,71
19,"Self","High",45,0
19,"Self","High",49,59
19,"Self","High",48,73
19,"Self","High",43,68
19,"Self","High",33,70
20,"Self","High",53,19
20,"Self","High",37,55
20,"Self","High",36,59
20,"Self","High",60,61
20,"Self","High",52,64
20,"Self","High",25,55
20,"Self","High",54,41
20,"Self","High",43,73
20,"Self","High",65,74
20,"Self","High",68,45
21,"Self","High",68,69
21,"Self","High",74,72
21,"Self","High",65,70
21,"Self","High",57,65
21,"Self","High",68,72
21,"Self","High",71,68
21,"Self","High",75,70
21,"Self","High",69,75
21,"Self","High",54,66
21,"Self","High",66,67
22,"Self","High",82,68
22,"Self","High",71,70
22,"Self","High",38,67
22,"Self","High",23,52
22,"Self","High",49,63
22,"Self","High",51,67
22,"Self","High",57,72
22,"Self","High",65,72
22,"Self","High",40,67
22,"Self","High",51,66
23,"Self","High",9,55
23,"Self","High",12,56
23,"Self","High",19,66
23,"Self","High",24,65
23,"Self","High",21,59
23,"Self","High",16,64
23,"Self","High",19,79
23,"Self","High",8,52
23,"Self","High",20,63
23,"Self","High",22,69
24,"Self","High",47,60
24,"Self","High",49,67
24,"Self","High",49,62
24,"Self","High",41,64
24,"Self","High",43,66
