"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-8.64902606469715,0.113286655182266,1159,-76.3463803462271,0
"TreatmentOxazepam",0.0500853938149065,0.15765085603551,27,0.317698203957896,0.75315791618256
"StimulusHigh",0.722645899860959,0.0479738493810511,1159,15.0633294843835,5.79256418921047e-47
"ConditionOther",0.00311025141283938,0.0479738493810522,1159,0.0648322253262379,0.948318763511265
"IRI_EC_z",-0.0890958532371041,0.0706979096777941,27,-1.26023320410969,0.21836870480577
"IRI_EC_z_OtherHigh",0.125720668236135,0.0393298148087166,1159,3.19657412188657,0.00142827790346431
"TreatmentOxazepam:StimulusHigh",-0.349932817378091,0.0679590074382251,1159,-5.14917493013977,3.07187361528174e-07
"TreatmentOxazepam:ConditionOther",-0.0190671442030887,0.067959007438225,1159,-0.280568314956937,0.77909159381199
"StimulusHigh:ConditionOther",-0.497708163902502,0.0785957355273047,1159,-6.33250850778786,3.44312073977235e-10
"TreatmentOxazepam:StimulusHigh:ConditionOther",0.253524784766074,0.100658545392144,1159,2.51866131959682,0.0119139500460294
