"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-8.72774052202259,0.203180617692836,2290,-42.9555762804944,3.32890405504868e-296
"TreatmentOxazepam",-0.00247606159679812,0.12294519755986,55,-0.0201395552322617,0.98400493209046
"StimulusHigh",0.655728982109651,0.0335315624195165,2290,19.5555749507215,7.05772493790262e-79
"ConditionOther",0.0037305245862992,0.0335315624195173,2290,0.111254123491956,0.911424583343162
"IRI_EC_z",-0.0262375426216061,0.062253288036867,55,-0.421464366766747,0.675058700126581
"IRI_EC_z_OtherHigh",0.0915554006140191,0.0272515352061786,2290,3.35964194021852,0.000793228313012943
"Wave",0.117255946615374,0.120201457566597,55,0.975495214360511,0.333585819754839
"TreatmentOxazepam:StimulusHigh",-0.188154229919,0.0478915744256408,2290,-3.92875432005559,8.79153680536984e-05
"TreatmentOxazepam:ConditionOther",0.00289830030687826,0.0478698995409358,2290,0.0605453601255167,0.951726573105085
"StimulusHigh:ConditionOther",-0.479003182729211,0.0499290752452002,2290,-9.59367223159734,2.13373134841601e-21
"TreatmentOxazepam:StimulusHigh:ConditionOther",0.110491269974712,0.068406401001273,2290,1.61521828889457,0.106401186992563
