"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",1.05293277180284,0.0101834092857413,1130,103.396882346381,0
"TreatmentPlacebo",-0.00700256751589303,0.0140908388261665,27,-0.496958882454135,0.623240585299327
"StimulusLow",-0.044353313027156,0.00894837691963311,1130,-4.95657630713375,8.27108978708989e-07
"Condition.L",0.0461939983020682,0.00932063364525183,1130,4.95610063223552,8.29092120631221e-07
"IRI_EC_z",0.000237322857564791,0.00659834045021271,27,0.0359670525271458,0.971573231718748
"IRI_EC_z_OtherHigh",-0.0114069529245417,0.0100047769731403,1130,-1.1401506455532,0.254465146518767
"TreatmentPlacebo:StimulusLow",-0.00308161317741863,0.0123001000917897,1130,-0.250535617956118,0.802218707416432
"TreatmentPlacebo:Condition.L",-0.0204033885096941,0.0123822687216906,1130,-1.64779080217767,0.0996736111433277
"StimulusLow:Condition.L",-0.0618285273710139,0.0126616919343614,1130,-4.88311733467649,1.1943384431461e-06
"TreatmentPlacebo:StimulusLow:Condition.L",0.0246088733151635,0.0174062497593189,1130,1.41379525489047,0.157697456214534
