"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",9.46501139403558,3.09148141514081,1143,3.06164266350748,0.00225266548219531
"TreatmentOxazepam",-0.454364447294243,4.39743008658159,27,-0.10332499627014,0.918468686462475
"StimulusHigh",27.1812500000001,1.54563879726125,1143,17.5857710405324,1.87268253319271e-61
"ConditionOther",-3.68125000000003,1.54563879726126,1143,-2.38170134349816,0.0173957706482666
"IRI_EC_z",-1.05959523270895,2.52473035476227,27,-0.419686494722216,0.678035267573807
"IRI_EC_z_OtherHigh",7.50133286666134,1.55913311780016,1143,4.81122027427989,1.70070537191457e-06
"TreatmentOxazepam:StimulusHigh",6.35208333333336,2.28482074995403,1143,2.78012326939046,0.00552299088009992
"TreatmentOxazepam:ConditionOther",-1.42245370370363,2.28482074995403,1143,-0.622566870391145,0.533693367356329
"StimulusHigh:ConditionOther",-4.97468075449157,2.19779471829383,1143,-2.26348744634052,0.0237925400932765
"TreatmentOxazepam:StimulusHigh:ConditionOther",4.58289851393771,3.23171489608136,1143,1.4181011200879,0.1564338146868
