"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",14.3503155059656,5.16484073862223,2351,2.77846234418327,0.00550507621136424
"TreatmentOxazepam",-2.63752838020807,3.183832181766,57,-0.828413129094354,0.410891952459716
"StimulusHigh",28.1468750000004,1.07928182504416,2351,26.0792634017059,6.63408166827075e-132
"ConditionOther",-5.78437499999999,1.07928182504415,2351,-5.35946669885169,9.16043706516586e-08
"Wave",-2.24781334179343,3.06812551938164,57,-0.732634088010346,0.466783782882135
"IRI_EC_z",0.582539522369579,1.54392103567677,57,0.377311733507295,0.707343177808778
"IRI_EC_z_OtherHigh",6.80678003125561,0.853961834561908,2351,7.97082463848933,2.43490928375744e-15
"TreatmentOxazepam:StimulusHigh",7.42154605263157,1.57249806962951,2351,4.71958992889583,2.50198684830915e-06
"TreatmentOxazepam:ConditionOther",0.780866228070186,1.57249806962951,2351,0.496576907248072,0.619533867267265
"StimulusHigh:ConditionOther",-4.55190487636799,1.59632023646322,2351,-2.85149857302637,0.00438934495627727
"TreatmentOxazepam:StimulusHigh:ConditionOther",3.46728192391341,2.24133633994771,2351,1.54697082366242,0.122004872828393
