"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.167559042795053,0.0189605218107114,1161,8.83725904106679,3.56225245331199e-18
"TreatmentOxazepam",0.0359479816213733,0.0269104421537898,27,1.33583764309538,0.192753918927915
"StimulusHigh",0.163159436381995,0.0106515827759469,1161,15.3178583703482,2.23620157329981e-48
"ConditionOther",-0.0776068302362682,0.0106515827759469,1161,-7.28594349485018,5.88524361292913e-13
"IRI_EC_z",-0.000781250531678772,0.015581844949256,27,-0.0501385127514104,0.96038109024331
"IRI_EC_z_OtherHigh",0.0169227044766156,0.0110481723777221,1161,1.53171980831319,0.125864015010039
"TreatmentOxazepam:StimulusHigh",-0.0414956563589635,0.015623842889125,1161,-2.65591869128732,0.00801761573210835
"TreatmentOxazepam:ConditionOther",-0.0255270331344247,0.0155923206120957,1161,-1.63715419721565,0.101869252307334
"StimulusHigh:ConditionOther",-0.0785059722930235,0.0151612152816919,1161,-5.17807912059823,2.64058504027364e-07
"TreatmentOxazepam:StimulusHigh:ConditionOther",0.0222970423098081,0.0220794760288674,1161,1.00985377916832,0.312775763534408
