"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",0.09308830574147,0.0283082883501954,2368,3.28837634370174,0.00102241508902377
"TreatmentOxazepam",0.0377115929698145,0.0179396953665765,57,2.10213117888697,0.0399714387359481
"StimulusHigh",0.156034448622665,0.00782082085560611,2368,19.9511600512901,5.50131519536759e-82
"ConditionOther",-0.0604141869431619,0.00782082085560616,2368,-7.72478849197211,1.64174369319099e-14
"Wave",0.0334882558684581,0.0167214245644929,57,2.00271548272081,0.0499723508954977
"IRI_EC_z",0.00740018428419146,0.0086208786239732,57,0.858402560455126,0.394265589653831
"IRI_EC_z_OtherHigh",0.0156611993055969,0.00637703866548347,2368,2.45587334923421,0.0141256287211044
"TreatmentOxazepam:StimulusHigh",-0.00944937077783717,0.011358888863916,2368,-0.831892176342628,0.405553688962184
"TreatmentOxazepam:ConditionOther",-0.0344543993279777,0.0113480188458989,2368,-3.03615986154527,0.00242222962899113
"StimulusHigh:ConditionOther",-0.0988639402169096,0.0115905842046296,2368,-8.5296770612667,2.57614683605577e-17
"TreatmentOxazepam:StimulusHigh:ConditionOther",0.0150447534814088,0.0161737047470562,2368,0.930198350761113,0.352363211540845
